ID,createdAt,createdBy,modifiedAt,modifiedBy,referenceNumber,subProcessType_code,processType_code,processorTeam_ID,processorTeamName,stepNo,stepName,activityDescription,role,slaDays
9c9e466e-f424-4739-9884-599d25727795,2026-08-08T22:06:21.32,anim.basu@ext.dialog.lk,2026-08-08T22:06:21.32,anim.basu@ext.dialog.lk,STP-000001,FTK_FACTORING_PO_VALIDATION,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,1,Submit PO list and invoices for validation,Vendor uploads the applicable PO list and the related invoices for I2P team to validate,,2
fddaae64-9768-4bb3-8e00-20c185314d91,2026-08-10T09:51:24.968,venkata.manisha@ext.dialog.lk,2026-08-10T09:51:24.968,venkata.manisha@ext.dialog.lk,STP-000004,FTK_FACTORING_PO_VALIDATION,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,4,Submit IAC,Vendor submits the Invoice Acceptance Certificate (IAC) referencing the validated PO/invoices.,,1
55d29190-9f25-4dc0-80a7-d5d34e07c73d,2026-08-10T09:48:37.727,venkata.manisha@ext.dialog.lk,2026-08-10T09:53:19.894,venkata.manisha@ext.dialog.lk,STP-000003,FTK_FACTORING_PO_VALIDATION,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,3,PO validation Confirmation,"On a successful validation, the I2P team records the PO validation confirmation in BTP and the request progresses.",,1
236c1d06-7e26-4bbb-be8d-862c6db904f4,2026-08-10T09:55:10.25,venkata.manisha@ext.dialog.lk,2026-08-10T09:56:17.619,venkata.manisha@ext.dialog.lk,STP-000005,FTK_FACTORING_PO_VALIDATION,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,5,Treasury Approval,Treasury team reviews and uploads the approved IAC. I2P team should be notified on the signed IAC to trigger WHT process for SW.,,1
9444a298-3f80-435f-bc1e-52f706677853,2026-08-10T09:45:42.621,venkata.manisha@ext.dialog.lk,2026-08-10T09:56:46.812,venkata.manisha@ext.dialog.lk,STP-000002,FTK_FACTORING_PO_VALIDATION,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,2,PO Validation,I2P team validates the submitted PO data against the system records. The outcome routes the request to either confirmation or send-back ,,1
fd7cd9b4-53c5-47bb-82fb-5ac4b0fb8576,2026-08-10T09:57:58.362,venkata.manisha@ext.dialog.lk,2026-08-10T09:57:58.362,venkata.manisha@ext.dialog.lk,STP-000006,FTK_FACTORING_PO_VALIDATION,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,6,Request for WHT certificate,Mandatory for both SW only & HW and SW. IV team will provide the supporting details for WHT clearance.,,1
25567def-0053-4308-a25c-bf3c8e646734,2026-08-10T09:58:37.984,venkata.manisha@ext.dialog.lk,2026-08-10T10:00:07.7,venkata.manisha@ext.dialog.lk,STP-000007,FTK_FACTORING_PO_VALIDATION,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,7,Provide WHT certificate,Tax team will update the certificate/clearance in the task.,,1
fbc23af7-8c04-47ad-933e-a1b61adf3acd,2026-08-10T10:01:57.584,venkata.manisha@ext.dialog.lk,2026-08-10T10:01:57.584,venkata.manisha@ext.dialog.lk,STP-000008,FTK_FACTORING_BASED_ON_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,1,Submit UAC with reference to IAC request number,Vendor submits the User Acceptance Certificate (UAC) quoting the IAC request number generated earlier.,,1
f34c0df5-a026-40a5-8a2f-91728a93ba47,2026-08-10T10:04:09.59,venkata.manisha@ext.dialog.lk,2026-08-10T10:04:09.59,venkata.manisha@ext.dialog.lk,STP-000009,FTK_FACTORING_BASED_ON_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,2,IV Confirmation and Document Archiving,"Conditional task: At the stage of IV, a task will be created for budget team as applicable.
For the rejected UACs, those needs to be sent back to Vendor by mentioning the rejected UAC’s number. Vendor has to refer to it and submit the UACs again in a new request with the original IAC request number.
",,1
1ea7bb16-d439-43af-955b-9aae2c5d846a,2026-08-10T12:49:01.39,venkata.manisha@ext.dialog.lk,2026-08-10T12:49:01.39,venkata.manisha@ext.dialog.lk,STP-000010,FTK_FACTORING_BASED_ON_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,3,Payment Run and Document Archiving,"WHT clearance will be part of the IAC flow, and the payment flow will have the reference to it.",,1
6f625617-3deb-48c5-8d68-55ee6e17f79c,2026-08-10T12:49:47.784,venkata.manisha@ext.dialog.lk,2026-08-10T12:49:47.784,venkata.manisha@ext.dialog.lk,STP-000011,FTK_FACTORING_BASED_ON_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,4,Quality Check,Quality Check,,1
4e9593dc-a146-4d33-a8f9-5e1c6604f1ed,2026-08-10T12:50:42.216,venkata.manisha@ext.dialog.lk,2026-08-10T12:50:42.216,venkata.manisha@ext.dialog.lk,STP-000012,FTK_FACTORING_BASED_ON_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,5,Payment Completion,Payment Completion,,1
2e551143-744e-45b8-9c08-eb2722aa485c,2026-08-10T12:51:25.936,venkata.manisha@ext.dialog.lk,2026-08-10T12:51:25.936,venkata.manisha@ext.dialog.lk,STP-000013,FTK_FACTORING_BASED_ON_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,6,Payment completed update by Vendor,"Vendor acknowledges receipt and updates the status in the portal, closing the request. ",,1
1278246f-78f2-4183-a7ae-635a22d57e56,2026-08-10T12:53:20.902,venkata.manisha@ext.dialog.lk,2026-08-10T12:53:20.902,venkata.manisha@ext.dialog.lk,STP-000014,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,1,Initiate advance process,"The IV team raises the advance payment request referencing the IAC request number, initiating the advance payment before the UAC is received. ",,1
65f7d84d-b742-4657-ace2-23de2ca4eaa4,2026-08-10T12:53:53.095,venkata.manisha@ext.dialog.lk,2026-08-10T12:53:53.095,venkata.manisha@ext.dialog.lk,STP-000015,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,2,Payment Run and Document Archiving,Payment Run and Document Archiving,,1
30396d2c-fbf9-4428-98d0-819ea1a55fba,2026-08-10T12:54:38.472,venkata.manisha@ext.dialog.lk,2026-08-10T12:54:38.472,venkata.manisha@ext.dialog.lk,STP-000016,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,3,Quality Check	,Quality Check	,,1
bc730601-8f16-4e34-9aef-914ebf2a76ba,2026-08-10T12:55:05.199,venkata.manisha@ext.dialog.lk,2026-08-10T13:02:42.242,venkata.manisha@ext.dialog.lk,STP-000017,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,4,Payment Completion,Payment Completion,,1
8e4af490-b0c6-47bb-b7fd-bd91a825e418,2026-08-10T12:55:36.215,venkata.manisha@ext.dialog.lk,2026-08-10T13:02:58.526,venkata.manisha@ext.dialog.lk,STP-000018,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,5,Payment completed update by Vendor,Vendor acknowledges the advance payment.,,1
f46ae381-7213-427b-b8aa-8c9b54b5b90f,2026-08-10T12:56:18.871,venkata.manisha@ext.dialog.lk,2026-08-10T13:03:33.97,venkata.manisha@ext.dialog.lk,STP-000019,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,6,Submit UAC,The vendor submits the UAC for the advance settlement,,1
d70788c2-de13-494b-a875-dbfc8b70c9b5,2026-08-10T12:59:30.354,venkata.manisha@ext.dialog.lk,2026-08-10T13:03:45.518,venkata.manisha@ext.dialog.lk,STP-000020,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,7,"IV confirmation, Advance clearance and Document archiving","At the stage of IV, a task will be created for budget team as applicable.",,1
893e1a8b-34db-417b-8378-1ebbc65aae7e,2026-08-10T13:00:26.233,venkata.manisha@ext.dialog.lk,2026-08-10T13:06:06.093,venkata.manisha@ext.dialog.lk,STP-000021,FTK_FACTORING_PENDING_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,8,Quality check,Quality check,,1
9c884845-b105-43eb-b205-c8ab7b9ab54e,2026-08-10T13:10:03.199,venkata.manisha@ext.dialog.lk,2026-08-10T13:10:03.199,venkata.manisha@ext.dialog.lk,STP-000022,FTK_NON_FACTORING_BASED_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,1,Submit UAC and invoices,Vendor submits the UAC together with the invoices,,1
40ac16d4-6dc2-487f-aa05-ee3aa75dfec6,2026-08-10T13:11:01.072,venkata.manisha@ext.dialog.lk,2026-08-10T13:11:01.072,venkata.manisha@ext.dialog.lk,STP-000023,FTK_NON_FACTORING_BASED_UAC,,96999a76-1bd0-4bec-a032-251abe9c8d44,Brainbox Ariba,2,IV Confirmation and Document Archiving,"At the stage of IV, a task will be created for budget team as applicable.",,1
